ind	sex	group	ref_genome	raw_file
AT_23C	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474889_2.fastq.gz
AT_5	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474890_1.fastq.gz
AT_5	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474890_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392892_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392892_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392895_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392895_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392896_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392896_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392905_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392905_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392908_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392908_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392909_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392909_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392914_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392914_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392920_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392920_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392924_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392924_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392926_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392926_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392927_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392927_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392928_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392928_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392930_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392930_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392931_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392931_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392933_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392933_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392934_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392934_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392935_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392935_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392937_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392937_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392941_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392941_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392890_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392890_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392894_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392894_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392897_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392897_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392899_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392899_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392900_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392900_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392901_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392901_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392904_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392904_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392907_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392907_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392910_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392910_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392912_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392912_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392913_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392913_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392916_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392916_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392919_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392919_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392921_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392921_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392922_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392922_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392925_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392925_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392939_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392939_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392945_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392945_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392891_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392891_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392893_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392893_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392898_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392898_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392902_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392902_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392903_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392903_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392906_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392906_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392911_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392911_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392915_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392915_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392917_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392917_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392918_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392918_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392923_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392923_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392929_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392929_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392932_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392932_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392936_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392936_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392938_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392938_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392940_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392940_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392942_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392942_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392943_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392943_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392944_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392944_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392946_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392946_2.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392947_1.fastq.gz
BACA3355	F	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392947_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392996_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392996_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392997_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392997_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392998_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392998_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393000_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393000_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393009_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393009_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393013_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393013_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393014_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393014_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393016_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393016_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393017_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393017_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393022_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393022_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393026_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393026_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393035_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393035_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393041_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393041_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393043_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393043_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393045_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393045_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393055_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393055_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392994_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392994_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392995_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10392995_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393001_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393001_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393002_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393002_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393005_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393005_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393008_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393008_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393011_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393011_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393015_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393015_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393024_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393024_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393025_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393025_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393028_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393028_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393031_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393031_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393032_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393032_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393034_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393034_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393037_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393037_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393038_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393038_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393044_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393044_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393046_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393046_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393047_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393047_2.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393048_1.fastq.gz
BACA3358	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/ERR10393048_2.fastq.gz
